Australia;0,863579763
Austria;0,616385988
Belgium;2,218957928
Bolivia;-0,698319121
Brazil;3,552809442
Canada;-0,316892363
Chile;-8,242230672
China;2,536036085
Colombia;-1,451707097
Costa Rica;5,125078178
Denmark;5,400238843
Ecuador;-2,405631303
Finland;-1,681085652
France;2,475471829
Germany;-0,180699295
Greece;-3,116168468
Guatamala;-3,35528379
Honduras;0,710024484
Iceland;-6,210581977
India;0,508674
Ireland;3,391130641
Italy;1,926754895
Japan;5,28148555
Korea;-6,106981445
Luxembourg;-1,670806567
Malta;2,974909782
Norway;-0,871785361
Netherlands;0,42554551
New Zealand;2,285554818
Nicaragua;0,646396608
Panama;-3,294165603
Paraguay;-6,125758881
Peru;6,539441017
Philippines;6,67500844
Portugal;-0,76844468
South Africa;0,483165565
South Rhodesia;1,291434221
Spain;-0,671156456
Sweden;-4,260283399
Switzerland;2,486825856
Turkey;-2,665682406
Tunisia;-2,817920005
United Kingdom;-2,692412766
United States;-1,111590146
Venezuela;3,632517694
Zambia;9,750913772
Jamaica;-3,018531408
Uruguay;-2,263827337
Libya;-2,829525664
Malaysia;-2,970869049
